Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Hcost
JUMEIRAH LAKES TOWERS,Unit,Flat,477000,90.96,90.96,1 B/R,0.23
DUBAI MARINA,Unit,Flat,1653600,120.69,120.69,2 B/R,0.56
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,437500,67.46,67.46,1 B/R,0.09
VILLANOVA,Building,Villa,1450000,161,161,3 B/R,0.17
BURJ KHALIFA,Unit,Flat,1995000,81.61,81.61,1 B/R,0.43
RUKAN,Building,Villa,664000,77.48,77.48,1 B/R,0.38
Wadi Al Safa 7,Building,Villa,710010,60.72,60.72,1 B/R,0.3
Al Kheeran,Unit,Flat,1780800,217.75,217.75,3 B/R,0.12
EMIRATE LIVING,Building,Villa,2760000,524.96,524.96,3 B/R,0.16
THE GREENS,Unit,Flat,1150000,191.52,191.52,3 B/R,0.51
BUSINESS BAY,Unit,Flat,2090000,136.14,136.14,2 B/R,0.17
BUSINESS BAY,Unit,Flat,2640000,229.19,229.19,PENTHOUSE,0.12
INTERNATIONAL CITY PH 2 & 3,Unit,Flat,380000,66.75,66.75,1 B/R,0.12
DUBAI SPORTS CITY,Unit,Flat,302400,76.12,76.12,1 B/R,0.24
DUBAI SPORTS CITY,Unit,Flat,302400,76.12,76.12,1 B/R,0.12
MBR DISTRICT 1,Unit,Flat,1142413,143.34,143.34,2 B/R,0.09
PALM JUMEIRAH,Unit,Flat,3482662.5,241.11,241.11,3 B/R,0.1
INTERNATIONAL CITY PH 2 & 3,Unit,Flat,377000,78.13,78.13,1 B/R,0.09
AL FURJAN,Unit,Flat,1706240,252.47,252.47,3 B/R,0.21
BURJ KHALIFA,Unit,Flat,863760,74.01,74.01,1 B/R,0.24
BUSINESS BAY,Unit,Flat,600000,60.2,60.2,1 B/R,0.01
DUBAI HILLS,Unit,Flat,1188620,67.08,67.08,2 B/R,0.03
AL FURJAN,Unit,Flat,700000,114.62,114.62,2 B/R,0.52
THE GREENS,Unit,Flat,1187200,80.18,80.18,1 B/R,0
MBR DISTRICT 1,Unit,Flat,600000,72.08,72.08,1 B/R,0.13
BURJ KHALIFA,Unit,Flat,1987500,123.47,123.47,2 B/R,0.05
Al Yelayiss 2,Building,Villa,1915727,187.92,187.92,3 B/R,0.52
Al Kifaf,Unit,Flat,2110672,143.85,143.85,2 B/R,0.33
MIRA,Building,Villa,2400000,287.77,287.77,4 B/R,0.36
INTERNATIONAL CITY PH 1,Unit,Flat,510000,100.21,100.21,2 B/R,0.41
DUBAI HILLS,Unit,Flat,635117,44.11,44.11,1 B/R,0.06
PALM JUMEIRAH,Unit,Flat,375000,50.44,50.44,Studio,0.18
EMAAR SOUTH,Building,Villa,1378000,139.07,139.07,3 B/R,0.39
THE GREENS,Unit,Flat,1997500,120.31,120.31,2 B/R,0.02
DUBAI CREEK HARBOUR,Unit,Flat,842332,90.3,90.3,2 B/R,0.02
DUBAI CREEK HARBOUR,Unit,Flat,1159732,129.8,129.8,3 B/R,0.29
DUBAI HILLS,Unit,Flat,892500,68.52,68.52,1 B/R,0.36
DUBAI HILLS,Unit,Flat,1200000,68.84,68.84,2 B/R,0.33
Wadi Al Safa 7,Building,Villa,1080000,123.75,123.75,2 B/R,0.26
EMAAR SOUTH,Building,Villa,985149,150.77,150.77,3 B/R,0.36
AL FURJAN,Building,Villa,2371200,168,168,3 B/R,0.39
PALM JUMEIRAH,Unit,Flat,1246006,161.21,161.21,2 B/R,0.21
BUSINESS BAY,Unit,Flat,1696000,197.05,197.05,2 B/R,0.21
JUMEIRAH LAKES TOWERS,Unit,Flat,581250,68.77,68.77,1 B/R,0.29
DUBAI SOUTH,Unit,Flat,497760,91.01,91.01,1 B/R,0.5
DUBAI MARINA,Unit,Flat,4990000,1061.51,1061.51,4 B/R,0.06
Zaabeel Second,Unit,Flat,1496000,68.81,68.81,1 B/R,0.2
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,900000,130.49,130.49,2 B/R,0.39
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,227040,37.35,37.35,Studio,0.56
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1320000,206.86,206.86,3 B/R,0.15
DUBAI SCIENCE PARK,Unit,Flat,580880,71.07,71.07,1 B/R,0.17
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,471238,81.14,81.14,1 B/R,0.48
JUMEIRAH LAKES TOWERS,Unit,Flat,1780800,216.1,216.1,4 B/R,0.52
DUBAI MARINA,Unit,Flat,1656720,65.74,65.74,1 B/R,0.1
VILLANOVA,Building,Villa,1738400,162.37,162.37,3 B/R,0.17
DUBAI MARINA,Unit,Flat,2250000,154.86,154.86,2 B/R,0.4
PALM JUMEIRAH,Unit,Flat,3120000,165.18,165.18,2 B/R,0.01
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,612000,77.18,77.18,1 B/R,0.4
JUMEIRAH LAKES TOWERS,Unit,Flat,1174000,92.74,92.74,2 B/R,0.02
MEYDAN ONE,Unit,Flat,640000,45.57,45.57,1 B/R,0.46
SUFOUH GARDENS,Unit,Flat,1212721,122.35,122.35,2 B/R,0.46
AL FURJAN,Building,Villa,2012500,231.43,231.43,3 B/R,0.44
BURJ KHALIFA,Unit,Flat,1485000,66.91,66.91,1 B/R,0.34
Wadi Al Safa 3,Unit,Flat,998400,168.28,168.28,3 B/R,0.24
Al Yelayiss 2,Building,Villa,1780700,188.16,188.16,3 B/R,0.25
ARJAN,Unit,Flat,311640,37.61,37.61,Studio,0.33
RUKAN,Building,Villa,1696000,176,176,3 B/R,0.57
MEYDAN ONE,Unit,Flat,560000,37.37,37.37,Studio,0.32
DUBAI HILLS,Unit,Flat,1060000,63.17,63.17,1 B/R,0.27
DUBAI MARINA,Unit,Flat,2613750,122.98,122.98,2 B/R,0.09
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,900000,118.46,118.46,2 B/R,0.5
DISCOVERY GARDENS,Unit,Flat,492000,90,90,1 B/R,0.15
Al Kifaf,Unit,Flat,1200000,139.55,139.55,2 B/R,0.21
Al Kheeran,Building,Villa,6710000,361.66,361.66,3 B/R,0.17
TOWN SQUARE,Unit,Flat,1028000,124.54,124.54,3 B/R,0.48
DUBAI HILLS,Unit,Flat,1248000,68.84,68.84,2 B/R,0.02
MEYDAN AVENUE,Unit,Flat,725580,57.19,57.19,1 B/R,0.34
JUMEIRAH HEIGHTS,Unit,Flat,1320000,197.5,197.5,2 B/R,0.32
DUBAI CREEK HARBOUR,Unit,Flat,1242900,64.99,64.99,1 B/R,0.32
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,707200,118.54,118.54,2 B/R,0.38
Madinat Hind 4,Unit,Flat,450500,115,115,1 B/R,0.39
EMIRATE LIVING,Building,Villa,3392000,370.58,370.58,3 B/R,0.03
Zaabeel Second,Unit,Flat,2100000,80.45,80.45,1 B/R,0.27
JUMEIRAH VILLAGE CIRCLE,Building,Villa,1396170,290.72,290.72,4 B/R,0.49
BURJ KHALIFA,Unit,Flat,1000000,102.56,102.56,1 B/R,0.17
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,450000,54.24,54.24,Studio,0.32
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,450000,54.24,54.24,Studio,0.51
BURJ KHALIFA,Unit,Flat,1356800,77.89,77.89,1 B/R,0.11
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,450000,49.17,49.17,Studio,0.13
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,450000,49.03,49.03,Studio,0.52
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,450000,49.06,49.06,Studio,0.5
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,600000,121.77,121.77,2 B/R,0.25
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,733363,118.58,118.58,2 B/R,0.41
Zaabeel Second,Unit,Flat,2773125,151.54,151.54,3 B/R,0.02
DUBAI SOUTH,Unit,Flat,521000,106.77,106.77,2 B/R,0.27
MBR DISTRICT 1,Unit,Flat,549505,77.33,77.33,1 B/R,0.12
DUBAI PRODUCTION CITY,Unit,Flat,609448,63.2,63.2,1 B/R,0.22
Al Yelayiss 2,Building,Villa,1950400,187.92,187.92,3 B/R,0.38
Me'Aisem First,Building,Villa,2254000,177.55,177.55,3 B/R,0.07
BUSINESS BAY,Unit,Flat,745000,61.23,61.23,Studio,0.5
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,600000,67.37,67.37,1 B/R,0.09
BURJ KHALIFA,Unit,Flat,1526400,101.45,101.45,1 B/R,0.34
Al Kifaf,Unit,Flat,2240000,118.34,118.34,2 B/R,0.17
JUMEIRAH LAKES TOWERS,Unit,Flat,1235120,143.08,143.08,3 B/R,0.15
ARJAN,Unit,Flat,300000,36.21,36.21,Studio,0.4
DUBAI HARBOUR,Unit,Flat,1112754,111.37,111.37,2 B/R,0.02
DUBAI PRODUCTION CITY,Unit,Flat,841654,96.58,96.58,2 B/R,0.03
MAJAN,Unit,Flat,458000,116.45,116.45,2 B/R,0.19
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,825000,87.67,87.67,1 B/R,0.44
BUSINESS BAY,Unit,Flat,702354,86.8,86.8,1 B/R,0.49
ARJAN,Unit,Flat,661440,76.35,76.35,1 B/R,0.01
THE FIELD,Building,Villa,3200000,187.23,187.23,4 B/R,0.17
DUBAI SPORTS CITY,Unit,Flat,600225,133.81,133.81,2 B/R,0.09
THE LAKES,Unit,Flat,1331200,81.7,81.7,1 B/R,0.5
Wadi Al Safa 3,Unit,Flat,1200000,152.54,152.54,2 B/R,0.39
Al Kifaf,Unit,Flat,1400000,144.57,144.57,2 B/R,0.29
SILICON OASIS,Unit,Flat,551200,61.86,61.86,1 B/R,0.23
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,436272,80.81,80.81,1 B/R,0.02
TOWN SQUARE,Building,Villa,1774416,202.5,202.5,3 B/R,0.2
MIRA,Building,Villa,1979455,225.38,225.38,3 B/R,0.29
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,466400,79.16,79.16,1 B/R,0.42
THE FIELD,Building,Villa,2973600,187.22,187.22,3 B/R,0.03
TOWN SQUARE,Unit,Flat,660000,81.85,81.85,2 B/R,0.08
DAMAC HILLS,Unit,Flat,441792,40.72,40.72,1 B/R,0.21
DUBAI SOUTH,Unit,Flat,407808,58.37,58.37,1 B/R,0.42
Jabal Ali First,Unit,Flat,665442,67.43,67.43,2 B/R,0.44
EMAAR SOUTH,Building,Villa,951000,142.27,142.27,3 B/R,0.54
BUSINESS BAY,Unit,Flat,661440,57.02,57.02,1 B/R,0.36
REMRAAM,Unit,Flat,442375,44.35,44.35,1 B/R,0.29
DUBAI CREEK HARBOUR,Unit,Flat,3980000,318.31,318.31,3 B/R,0.19
SOBHA HEARTLAND,Unit,Flat,1650000,123.4,123.4,2 B/R,0.23
AL FURJAN,Building,Villa,2012500,222.74,222.74,3 B/R,0.46
DUBAI HILLS,Unit,Flat,1235335,68.62,68.62,2 B/R,0.34
DUBAI MARINA,Unit,Flat,1425000,93.09,93.09,1 B/R,0.54
Al Yelayiss 2,Building,Villa,844443,187.92,187.92,3 B/R,0.58
BURJ KHALIFA,Unit,Flat,1440000,84.17,84.17,1 B/R,0.51
JUMEIRAH LAKES TOWERS,Unit,Flat,678400,68.23,68.23,1 B/R,0.36
TOWN SQUARE,Unit,Flat,330000,65.69,65.69,1 B/R,0.43
DUBAI MARINA,Unit,Flat,2460000,298.39,298.39,4 B/R,0.1
JUMEIRAH BEACH RESIDENCE,Unit,Flat,1950400,170.77,170.77,3 B/R,0.35
MOTOR CITY,Unit,Flat,1083360,210.8,210.8,3 B/R,0.17
BURJ KHALIFA,Unit,Flat,1680000,98.49,98.49,1 B/R,0.18
JUMEIRAH LAKES TOWERS,Unit,Flat,1400000,183.76,183.76,2 B/R,0.31
DUBAI HILLS,Building,Villa,2741250,201.68,201.68,4 B/R,0.1
DAMAC HILLS,Unit,Flat,598693,79.22,79.22,1 B/R,0.04
EMIRATE LIVING,Building,Villa,3061920,254.96,254.96,3 B/R,0.08
DUBAI SPORTS CITY,Unit,Flat,450000,70.58,70.58,1 B/R,0.48
CITY WALK,Unit,Flat,3300000,209.74,209.74,3 B/R,0.15
BURJ KHALIFA,Unit,Flat,797866,117.09,117.09,2 B/R,0.36
THE GREENS,Unit,Flat,648461.36,107.43,107.43,2 B/R,0.56
DISCOVERY GARDENS,Unit,Flat,500320,89,89,1 B/R,0.38
DUBAI SOUTH,Unit,Flat,314352,41.72,41.72,Studio,0.21
Al Yelayiss 2,Building,Villa,2176000,277.11,277.11,4 B/R,0.3
ARJAN,Unit,Flat,846694,139.87,139.87,3 B/R,0.37
TOWN SQUARE,Unit,Flat,541875,99.43,99.43,2 B/R,0.29
DUBAI HILLS,Unit,Flat,1329349,68.84,68.84,2 B/R,0.56
DUBAI HILLS,Unit,Flat,669375,44.8,44.8,1 B/R,0.14
Zaabeel Second,Unit,Flat,1167444,100.93,100.93,2 B/R,0.01
BUSINESS BAY,Unit,Flat,1400000,60.71,60.71,1 B/R,0.15
DUBAI MARINA,Unit,Flat,1017600,77.9,77.9,1 B/R,0.15
VILLANOVA,Building,Villa,1010000,163.12,163.12,3 B/R,0.45
DUBAI HILLS,Building,Villa,3553640,284.2,284.2,4 B/R,0.06
PALM JUMEIRAH,Unit,Flat,2025000,148.93,148.93,2 B/R,0.21
MBR DISTRICT 1,Unit,Flat,1076738,113.65,113.65,2 B/R,0.25
MBR DISTRICT 1,Unit,Flat,595342,70.44,70.44,1 B/R,0.23
SILICON OASIS,Unit,Flat,500000,85.79,85.79,1 B/R,0.39
TOWN SQUARE,Unit,Flat,1169360,131.85,131.85,3 B/R,0.52
RUKAN,Building,Villa,663000,59.44,59.44,1 B/R,0.35
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,490880,77.18,77.18,1 B/R,0.52
JUMEIRAH BEACH RESIDENCE,Unit,Flat,2338172,169.76,169.76,2 B/R,0.31
SOBHA HEARTLAND,Unit,Flat,855914,74.62,74.62,2 B/R,0.38
SOBHA HEARTLAND,Unit,Flat,443947,45.53,45.53,1 B/R,0.23
Al Barshaa South Third,Unit,Flat,824500,119.01,119.01,2 B/R,0.58
MBR DISTRICT 1,Unit,Flat,1500000,108.56,108.56,2 B/R,0.08
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,760000,129.72,129.72,2 B/R,0.23
BUSINESS BAY,Unit,Flat,528000,89.93,89.93,1 B/R,0.59
MAJAN,Unit,Flat,710560,106.2,106.2,2 B/R,0.12
BUSINESS BAY,Unit,Flat,862500,79.02,79.02,1 B/R,0.45
PALM JUMEIRAH,Unit,Flat,1672000,200.38,200.38,3 B/R,0.54
BURJ KHALIFA,Unit,Flat,1323000,131.24,131.24,2 B/R,0.57
JUMEIRAH LAKES TOWERS,Unit,Flat,464000,34.46,34.46,Studio,0.3
SOBHA HEARTLAND,Unit,Flat,640000,44.94,44.94,Studio,0.24
DUBAI MARINA,Unit,Flat,2992000,304.44,304.44,4 B/R,0.01
THE GREENS,Unit,Flat,1364000,161.09,161.09,3 B/R,0.19
SOBHA HEARTLAND,Unit,Flat,1738400,98.01,98.01,2 B/R,0.22
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,1006000,128.7,128.7,3 B/R,0.39
Zaabeel Second,Unit,Flat,3600000,145.5,145.5,3 B/R,0.14
JUMEIRAH LAKES TOWERS,Unit,Flat,1272000,102.23,102.23,2 B/R,0.11
THE GREENS,Unit,Flat,1375000,161.09,161.09,3 B/R,0.57
THE GREENS,Unit,Flat,594387,70.02,70.02,1 B/R,0.37
TOWN SQUARE,Unit,Flat,480000,83.61,83.61,2 B/R,0.04
DUBAI PRODUCTION CITY,Unit,Flat,432000,127.93,127.93,2 B/R,0.25
ARABIAN RANCHES II,Building,Villa,1075000,181.61,181.61,3 B/R,0.28
DUBAI MARINA,Unit,Flat,1364000,148.99,148.99,2 B/R,0.01
DUBAI MARINA,Unit,Flat,1760000,157.84,157.84,2 B/R,0.1
MBR DISTRICT 1,Unit,Flat,1785000,101.86,101.86,2 B/R,0.44
THE GREENS,Unit,Flat,1696000,154.71,154.71,3 B/R,0.5
DUBAI HILLS,Unit,Flat,881218,64.21,64.21,1 B/R,0.34
DUBAI HILLS,Unit,Flat,867591.6,45.34,45.34,1 B/R,0.33
DUBAI CREEK HARBOUR,Unit,Flat,2220000,156.53,156.53,3 B/R,0.02
BURJ KHALIFA,Unit,Flat,896444,93.26,93.26,2 B/R,0.27
EMIRATE LIVING,Building,Villa,3243600,534.85,534.85,3 B/R,0.03
MIRA,Building,Villa,1500000,216.11,216.11,3 B/R,0.57
JUMEIRAH LAKES TOWERS,Unit,Flat,976880,91.06,91.06,2 B/R,0.06
DUBAI HEALTHCARE CITY - PHASE 2,Unit,Flat,1300000,232.28,232.28,3 B/R,0.33
JUMEIRAH LAKES TOWERS,Unit,Flat,612000,74.09,74.09,1 B/R,0.29
DUBAI HILLS,Unit,Flat,890526,45.2,45.2,1 B/R,0.44
LA MER,Building,Villa,4000000,433.42,433.42,4 B/R,0.03
DUBAI MARINA,Unit,Flat,1640000,185.69,185.69,3 B/R,0.41
BUSINESS BAY,Unit,Flat,665600,74.6,74.6,1 B/R,0.32
JUMEIRAH BEACH RESIDENCE,Unit,Flat,1611200,131.76,131.76,2 B/R,0.42
TOWN SQUARE,Unit,Flat,461280,44.58,44.58,1 B/R,0.15
BUSINESS BAY,Unit,Flat,818400,75.58,75.58,2 B/R,0.52
DUBAI SPORTS CITY,Unit,Flat,300000,118.24,118.24,2 B/R,0.35
JUMEIRAH LAKES TOWERS,Unit,Flat,582000,85.61,85.61,1 B/R,0.09
DUBAI SCIENCE PARK,Unit,Flat,695360,75.46,75.46,1 B/R,0.33
JUMEIRAH LAKES TOWERS,Unit,Flat,596960,76.61,76.61,1 B/R,0.2
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,853603,76.01,76.01,1 B/R,0.48
EMIRATE LIVING,Building,Villa,1425995,179.13,179.13,2 B/R,0.51
MEYDAN ONE,Unit,Flat,537600,37.71,37.71,Studio,0.44
DUBAI SCIENCE PARK,Unit,Flat,850000,135.39,135.39,2 B/R,0.11
PALM JUMEIRAH,Unit,Flat,2496000,97.96,97.96,1 B/R,0.4
TOWN SQUARE,Unit,Flat,487600,61.06,61.06,1 B/R,0.48
BUSINESS BAY,Unit,Flat,1387540,145.76,145.76,2 B/R,0.26
AL FURJAN,Unit,Flat,683663,102.24,102.24,1 B/R,0.24
Al Yelayiss 2,Building,Villa,1908000,187.92,187.92,3 B/R,0.26
SERENA,Building,Villa,1020000,178.13,178.13,2 B/R,0.05
EMIRATE LIVING,Building,Villa,3640000,359.25,359.25,3 B/R,0.04
REMRAAM,Unit,Flat,760000,139.19,139.19,2 B/R,0.29
MIRA,Building,Villa,2204800,310.91,310.91,3 B/R,0.45
Wadi Al Safa 7,Building,Villa,627360,89.59,89.59,1 B/R,0.58
JUMEIRAH BEACH RESIDENCE,Unit,Flat,3580000,248.31,248.31,3 B/R,0.14
SUFOUH GARDENS,Unit,Flat,1280000,122.14,122.14,2 B/R,0.57
DUBAI MARINA,Unit,Flat,650000,85.09,85.09,1 B/R,0.3
JUMEIRAH BEACH RESIDENCE,Unit,Flat,1920000,175.04,175.04,3 B/R,0.11
VILLANOVA,Building,Villa,1441600,162.09,162.09,2 B/R,0.32
DUBAI MARINA,Unit,Flat,650000,90.11,90.11,1 B/R,0.59
JUMEIRAH BEACH RESIDENCE,Unit,Flat,2900000,262.66,262.66,4 B/R,0.13
SOBHA HEARTLAND,Unit,Flat,1144800,80.54,80.54,1 B/R,0.01
Al Yelayiss 2,Building,Villa,1950400,204.37,204.37,3 B/R,0.12
INTERNATIONAL CITY PH 1,Unit,Flat,210000,44,44,Studio,0.21
BURJ KHALIFA,Unit,Flat,2380000,105.23,105.23,2 B/R,0.45
INTERNATIONAL CITY PH 1,Unit,Flat,200000,43,43,Studio,0.38
INTERNATIONAL CITY PH 1,Unit,Flat,200000,43,43,Studio,0.02
INTERNATIONAL CITY PH 1,Unit,Flat,200000,43,43,Studio,0.41
INTERNATIONAL CITY PH 1,Unit,Flat,210000,44,44,Studio,0.51
JUMEIRAH LAKES TOWERS,Unit,Flat,1680000,186.41,186.41,2 B/R,0.3
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,746240,121.95,121.95,2 B/R,0.23
DUBAI MARINA,Unit,Flat,860000,131.18,131.18,2 B/R,0.15
VILLANOVA,Building,Villa,1694000,160.62,160.62,3 B/R,0.23
JUMEIRAH LAKES TOWERS,Unit,Flat,632260,108.55,108.55,2 B/R,0.09
VILLANOVA,Building,Villa,1865000,200.03,200.03,3 B/R,0.22
BUSINESS BAY,Unit,Flat,1441600,132.57,132.57,2 B/R,0.34
DUBAI MARINA,Unit,Flat,594000,72.93,72.93,1 B/R,0.52
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,191691,76.7,76.7,1 B/R,0.58
SUFOUH GARDENS,Unit,Flat,1823200,165.57,165.57,3 B/R,0.46
JUMEIRAH BEACH RESIDENCE,Unit,Flat,1000000,117.84,117.84,2 B/R,0.07
TOWN SQUARE,Unit,Flat,1190560,131.36,131.36,3 B/R,0.36
JUMEIRAH LAKES TOWERS,Unit,Flat,772000,91.02,91.02,1 B/R,0.4
BUSINESS BAY,Unit,Flat,1687626,176.55,176.55,3 B/R,0.37
RUKAN,Building,Villa,1060000,128.18,128.18,2 B/R,0.54
EMAAR SOUTH,Unit,Flat,1339200,222.78,222.78,3 B/R,0.47
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,636000,119.53,119.53,2 B/R,0.24
BUSINESS BAY,Unit,Flat,703687.5,67.68,67.68,1 B/R,0.35
TILAL AL GHAF,Building,Villa,2208000,140.43,140.43,3 B/R,0.5
JUMEIRAH LAKES TOWERS,Unit,Flat,1915727,222.7,222.7,3 B/R,0.54
Jabal Ali First,Unit,Flat,979022,92.78,92.78,3 B/R,0.07
CHERRYWOODS,Building,Villa,2374400,310.73,310.73,3 B/R,0.2
DUBAI PRODUCTION CITY,Unit,Flat,741836,83.51,83.51,1 B/R,0.34
REMRAAM,Unit,Flat,1108513,139,139,3 B/R,0.24
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1635480,142.22,142.22,2 B/R,0.27
JUMEIRAH VILLAGE CIRCLE,Building,Villa,2553000,288.59,288.59,4 B/R,0.02
TOWN SQUARE,Building,Villa,1865000,215.5,215.5,3 B/R,0.2
EMIRATE LIVING,Building,Villa,742583,259.82,259.82,3 B/R,0.05
THE GREENS,Unit,Flat,1400000,143.72,143.72,2 B/R,0.29
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,896088,72.05,72.05,1 B/R,0.08
DUBAI HILLS,Building,Villa,3349600,201.08,201.08,4 B/R,0.03
DUBAI HILLS,Building,Villa,4711700,312.55,312.55,3 B/R,0
AL FURJAN,Unit,Flat,1187200,140.44,140.44,2 B/R,0.3
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1123200,114.81,114.81,3 B/R,0.01
BUSINESS BAY,Unit,Flat,836609,47.64,47.64,1 B/R,0.44
JUMEIRAH LAKES TOWERS,Unit,Flat,814080,66.78,66.78,1 B/R,0.17
DUBAI HILLS,Unit,Flat,1286919,68.62,68.62,2 B/R,0.15
TOWN SQUARE,Building,Villa,1920000,273.75,273.75,4 B/R,0.24
JUMEIRAH LIVING,Unit,Flat,1250000,70.85,70.85,1 B/R,0.38
JUMEIRAH BEACH RESIDENCE,Unit,Flat,1872000,132.89,132.89,1 B/R,0.14
DUBAI PRODUCTION CITY,Unit,Flat,352750,75.41,75.41,1 B/R,0.59
DAMAC HILLS,Unit,Flat,1050000,162.27,162.27,3 B/R,0.32
AL FURJAN,Building,Villa,2883200,177.66,177.66,3 B/R,0.14
AL FURJAN,Unit,Flat,1280000,123.03,123.03,2 B/R,0.17
BUSINESS BAY,Unit,Flat,1440000,77.96,77.96,1 B/R,0.06
SUFOUH GARDENS,Unit,Flat,1373760,133.56,133.56,2 B/R,0.4
EMAAR SOUTH,Unit,Flat,810000,163.38,163.38,2 B/R,0.32
JUMEIRAH LAKES TOWERS,Unit,Flat,3985600,424.66,424.66,PENTHOUSE,0.13
DUBAI SPORTS CITY,Unit,Flat,1045500,221.11,221.11,3 B/R,0.54
BURJ KHALIFA,Unit,Flat,1320000,88.39,88.39,1 B/R,0.12
Al Yelayiss 2,Building,Villa,1873242,190.82,190.82,3 B/R,0.11
BUSINESS BAY,Unit,Flat,1579611,152.06,152.06,3 B/R,0.31
THE GREENS,Unit,Flat,2599120,153.76,153.76,3 B/R,0.1
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,436000,75.62,75.62,1 B/R,0.05
BURJ KHALIFA,Unit,Flat,1120000,65.77,65.77,1 B/R,0.58
BUSINESS BAY,Unit,Flat,1007500,94.93,94.93,1 B/R,0.49
CITY WALK,Unit,Flat,1700000,113.01,113.01,1 B/R,0.08
DUBAI MARINA,Unit,Flat,763200,72.17,72.17,1 B/R,0.06
TOWN SQUARE,Building,Villa,1872000,188.1,188.1,3 B/R,0.12
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1257000,114.28,114.28,2 B/R,0.48
AL FURJAN,Building,Villa,2633760,199,199,4 B/R,0
SOBHA HEARTLAND,Unit,Flat,1052000,76.28,76.28,1 B/R,0.18
BUSINESS BAY,Unit,Flat,722942,35.09,35.09,Studio,0.08
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1120000,114.67,114.67,3 B/R,0.38
DUBAI SCIENCE PARK,Unit,Flat,831040,105.06,105.06,2 B/R,0.55
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,975200,87.96,87.96,1 B/R,0.45
DUBAI PRODUCTION CITY,Unit,Flat,582400,61.92,61.92,1 B/R,0.05
EMAAR SOUTH,Unit,Flat,920080,155.83,155.83,2 B/R,0.39
DUBAI MARINA,Unit,Flat,1526400,167.1,167.1,2 B/R,0.24
BUSINESS BAY,Unit,Flat,717600,35.15,35.15,Studio,0.52
DUBAI SPORTS CITY,Unit,Flat,496000,92.48,92.48,1 B/R,0.31
EMAAR SOUTH,Building,Villa,1399200,148.8,148.8,3 B/R,0.5
DUBAI MARINA,Unit,Flat,2040000,148.67,148.67,PENTHOUSE,0.17
BUSINESS BAY,Unit,Flat,1184000,67.43,67.43,1 B/R,0.12
ARABIAN RANCHES III,Building,Villa,1950400,129.06,129.06,3 B/R,0.15
ARABIAN RANCHES I,Building,Villa,1300000,334.81,334.81,3 B/R,0.46
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,460000,70.17,70.17,1 B/R,0.25
ARABIAN RANCHES III,Building,Villa,1882560,129.15,129.15,3 B/R,0.24
DUBAI CREEK HARBOUR,Unit,Flat,600000,116.69,116.69,2 B/R,0.36
THE VALLEY,Building,Villa,1318310,174,174,3 B/R,0.18
VILLANOVA,Building,Villa,1350000,175,175,3 B/R,0.31
DUBAI SCIENCE PARK,Unit,Flat,900000,135.39,135.39,2 B/R,0.07
BUSINESS BAY,Unit,Flat,1700000,132.57,132.57,2 B/R,0.19
THE LAKES,Building,Villa,2280738,243.62,243.62,3 B/R,0.21
JUMEIRAH BEACH RESIDENCE,Unit,Flat,470000,136.2,136.2,2 B/R,0.39
DUBAI PRODUCTION CITY,Unit,Flat,469050,59.92,59.92,1 B/R,0.16
ARJAN,Unit,Flat,543200,75.5,75.5,1 B/R,0.14
EMIRATE LIVING,Building,Villa,2850000,255.01,255.01,3 B/R,0.02
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,1088000,151.08,151.08,3 B/R,0.15
